,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,aucune,any
25,place,square
26,parle,speak
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,affaire,case
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,train,train
37,corps,body
38,endroit,place
39,façon,way
40,écoute,listen
41,dont,whose
42,trouve,find
43,premier,first
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,venu,came
56,suite,after
57,pardon,sorry
58,venez,come
59,devant,in front of
60,vers,towards
61,minutes,minutes
62,demandé,request
63,chambre,bedroom
64,mis,placed
65,belle,beautiful
66,droit,law
67,aimerais,would like to
68,aujourd'hui,today
69,mari,husband
70,cause,cause
71,enfin,finally
72,espère,hope
73,eau,water
74,attendez,Wait
75,parti,left
76,boulot,job
77,arrêter,Stop
78,compte,account
79,donne,given
80,loin,far
81,fin,end
82,croire,believe
83,chérie,sweetheart
84,gros,large
85,plutôt,rather
86,aura,will have
87,filles,girls
88,jouer,to play
89,bureau,office
